line,sex,rep,concentration,exposure,total_flies,survival_proportion
508,M,2,1.5,24,1,0.05
508,M,3,1.5,24,3,0.15
508,M,4,1.5,24,0,0
799,M,1,1.5,24,0,0
799,M,2,1.5,24,8,0.444444444
799,M,3,1.5,24,13,0.684210526
799,M,4,1.5,24,10,0.588235294
808,M,2,1.5,24,8,0.470588235
808,M,4,1.5,24,11,0.611111111
808,M,1,1.5,24,9,0.473684211
808,M,3,1.5,24,11,0.55
900,M,1,1.5,24,0,0
900,M,2,1.5,24,0,0
900,M,3,1.5,24,2,0.1
900,M,4,1.5,24,2,0.111111111
41,F,1,0,48,15,1
41,F,2,0,48,19,0.95
41,F,3,0,48,18,0.947368421
41,F,4,0,48,10,1
59,F,1,0,48,19,1
59,F,2,0,48,20,1
59,F,3,0,48,19,1
59,F,4,0,48,20,1
83,F,1,0,48,19,1
83,F,2,0,48,18,1
83,F,3,0,48,20,1
83,F,4,0,48,20,1
129,F,1,0,48,19,1
129,F,2,0,48,20,1
129,F,3,0,48,20,1
129,F,4,0,48,13,0.684210526
195,F,1,0,48,17,1
195,F,2,0,48,19,1
195,F,3,0,48,20,1
195,F,4,0,48,18,1
217,F,1,0,48,20,1
217,F,2,0,48,20,1
217,F,3,0,48,19,1
217,F,4,0,48,19,1
228,F,1,0,48,19,1
228,F,2,0,48,20,1
228,F,3,0,48,20,1
228,F,4,0,48,20,1
367,F,1,0,48,20,1
367,F,2,0,48,19,1
367,F,3,0,48,19,1
367,F,4,0,48,20,1
371,F,1,0,48,20,1
371,F,2,0,48,17,1
371,F,3,0,48,20,1
371,F,4,0,48,19,1
491,F,1,0,48,19,1
491,F,2,0,48,20,1
491,F,3,0,48,18,1
491,F,4,0,48,19,0.95
508,F,1,0,48,17,1
508,F,2,0,48,18,1
508,F,3,0,48,17,1
508,F,4,0,48,20,1
799,F,1,0,48,20,1
799,F,2,0,48,18,1
799,F,3,0,48,17,1
799,F,4,0,48,14,1
808,F,2,0,48,18,0.947368421
808,F,1,0,48,20,1
808,F,4,0,48,19,1
808,F,3,0,48,21,1
900,F,1,0,48,18,0.947368421
900,F,2,0,48,20,1
900,F,3,0,48,18,1
900,F,4,0,48,18,0.947368421
41,M,1,0,48,19,1
41,M,2,0,48,18,1
41,M,3,0,48,17,1
41,M,4,0,48,20,1
59,M,1,0,48,19,1
59,M,2,0,48,18,1
59,M,3,0,48,19,1
59,M,4,0,48,18,1
83,M,1,0,48,18,1
83,M,2,0,48,18,1
83,M,3,0,48,19,1
83,M,4,0,48,19,1
129,M,1,0,48,20,1
129,M,2,0,48,20,1
129,M,3,0,48,18,1
129,M,4,0,48,18,0.947368421
195,M,1,0,48,20,1
195,M,2,0,48,16,0.842105263
195,M,3,0,48,20,1
195,M,4,0,48,19,1
217,M,1,0,48,20,1
217,M,2,0,48,21,1
217,M,3,0,48,18,1
217,M,4,0,48,20,1
228,M,1,0,48,20,1
228,M,2,0,48,20,1
228,M,3,0,48,19,1
228,M,4,0,48,17,0.944444444
367,M,1,0,48,15,1
367,M,2,0,48,13,1
367,M,3,0,48,19,1
367,M,4,0,48,20,1
371,M,1,0,48,15,1
371,M,2,0,48,15,1
371,M,3,0,48,20,1
371,M,4,0,48,18,1
491,M,1,0,48,20,1
491,M,2,0,48,20,1
491,M,3,0,48,19,1
491,M,4,0,48,19,1
508,M,1,0,48,18,1
508,M,2,0,48,19,0.95
508,M,3,0,48,19,1
508,M,4,0,48,18,1
799,M,1,0,48,19,1
799,M,2,0,48,16,0.941176471
799,M,3,0,48,19,1
799,M,4,0,48,15,0.882352941
808,M,1,0,48,19,1
808,M,2,0,48,18,1
808,M,4,0,48,18,0.947368421
808,M,3,0,48,19,1
900,M,1,0,48,14,0.933333333
900,M,2,0,48,19,1
900,M,3,0,48,16,1
900,M,4,0,48,14,0.933333333
41,F,1,0.8,48,18,0.9
41,F,2,0.8,48,7,0.411764706
41,F,3,0.8,48,12,0.6
41,F,4,0.8,48,1,0.055555556
59,F,1,0.8,48,0,0
59,F,2,0.8,48,0,0
59,F,3,0.8,48,0,0
59,F,4,0.8,48,1,0.05
83,F,1,0.8,48,4,0.210526316
83,F,2,0.8,48,12,0.666666667
83,F,3,0.8,48,6,0.3
83,F,4,0.8,48,5,0.25
129,F,1,0.8,48,3,0.157894737
129,F,2,0.8,48,1,0.055555556
129,F,3,0.8,48,8,0.4
129,F,4,0.8,48,0,0
195,F,4,0.8,48,15,1
195,F,1,0.8,48,15,0.833333333
195,F,2,0.8,48,5,0.3125
195,F,3,0.8,48,3,0.157894737
217,F,1,0.8,48,20,1
217,F,2,0.8,48,18,0.947368421
217,F,3,0.8,48,19,1
217,F,4,0.8,48,21,1
228,F,1,0.8,48,6,0.352941176
228,F,2,0.8,48,8,0.421052632
228,F,3,0.8,48,12,0.6
228,F,4,0.8,48,5,0.294117647
367,F,1,0.8,48,3,0.1875
367,F,2,0.8,48,3,0.157894737
367,F,3,0.8,48,1,0.052631579
367,F,4,0.8,48,5,0.25
371,F,1,0.8,48,5,0.3125
